"","genre.mse.score","rmse.score","stirling.score"
"Global",2.23456790123457,0.0510577349611644,0.559388551105884
"Argentina",1.17857142857143,0.0608394558891688,0.385995452021282
"Australia",1.32510288065844,0.0583982002954296,0.519760602380186
"Austria",0.898929845422117,0.0584924856932297,0.479005566257945
"Belgium",2.95501730103806,0.0551836104888112,0.506014794409861
"Bolivia",3.55555555555556,0.0698149024739986,0.320696089816896
"Brazil",2.22160664819945,0.0564631020882485,0.317598747682074
"Bulgaria",1.12244897959184,0.0588205076246749,0.455585584492717
"Canada",3.76331360946746,0.0519948385754618,0.549840431721475
"Chile",5.87654320987654,0.0514302149629852,0.434189804066868
"Colombia",3.609375,0.0549083429957905,0.173389867377083
"Costa Rica",2.47091412742382,0.0516357551071316,0.380386597270355
"Czech Republic",2.45679012345679,0.0517064479885154,0.519660471752525
"Denmark",5.35537190082645,0.0551952833144232,0.481301057906517
"Dominican Republic",4.50887573964497,0.0541538187418311,0.265166195150684
"Ecuador",4.08888888888889,0.0548028165700149,0.228414583470933
"El Salvador",1.1358024691358,0.0597977631863213,0.354348338799326
"Estonia",3.26530612244898,0.0488983307655823,0.617266158000565
"Finland",3.46875,0.0573503121693748,0.341250724746335
"France",1.63888888888889,0.0573277329410251,0.563721852865247
"Germany",1.6,0.0572954990819227,0.476620256092453
"Greece",5.8125,0.0502460533002439,0.288917216917348
"Guatemala",3.609375,0.0552317359504971,0.276353576374471
"Honduras",4.48979591836735,0.0547295382615457,0.34372260901279
"Hong Kong",4.79338842975207,0.0526606249072378,0.391437026102564
"Hungary",2.59375,0.051801541303674,0.455558890467127
"Iceland",1.74380165289256,0.0770032310878456,0.448041847662336
"India",3.2,0.0603866243972404,0.340419949727742
"Indonesia",2.5679012345679,0.0607102495917692,0.417171384667468
"Ireland",1.8099173553719,0.05248011010199,0.402973770439159
"Israel",2.0453514739229,0.0566683825397639,0.463449926268477
"Italy",3.203125,0.0530059560941207,0.408966079784816
"Japan",6.3125,0.0557189293902977,0.230800800317301
"Latvia",0.869927159209157,0.0609042990374579,0.678076438472457
"Lithuania",1.19890260631001,0.0635784482989222,0.605335460801163
"Luxembourg",0.951248513674197,0.0523601093102222,0.512935109634852
"Malaysia",1.44,0.0627845041520542,0.446179907079648
"Mexico",2.96193771626298,0.0592600960497993,0.470694788930788
"Netherlands",2.26038781163435,0.0589958940908809,0.489473694505039
"New Zealand",1.07270233196159,0.0609936404791769,0.46347737648388
"Nicaragua",4.08888888888889,0.0539581638861355,0.257525201864509
"Norway",1.54861111111111,0.0551016637610763,0.467209279682818
"Panama",4.81656804733728,0.0515869714777136,0.323081222297047
"Paraguay",3.64444444444444,0.0507907093794613,0.210369058441851
"Peru",3.91836734693878,0.0526843600705262,0.248768315167434
"Philippines",2.1,0.0611269844278539,0.441411963806258
"Poland",7.9375,0.0526101211185527,0.225451973441492
"Portugal",1.02222222222222,0.0582073859155328,0.509947625785697
"Romania",2.828125,0.0561749365523936,0.423197297149885
"Singapore",1.5625,0.0614657747918124,0.533349364497798
"Slovakia",2,0.0539315680452356,0.475212800603655
"South Africa",2,0.0589849518634087,0.369403237003789
"Spain",2.5625,0.050505157749753,0.275116482315642
"Sweden",1.78231292517007,0.0543721250179265,0.538430431339611
"Switzerland",1.375,0.0537788391208207,0.432249274595015
"Taiwan",2.93333333333333,0.0628725230682028,0.371448430633966
"Thailand",2.34567901234568,0.0598066091311706,0.477153859874492
"Turkey",2.88757396449704,0.0574715243089782,0.437453098235796
"United Kingdom",2.32686980609418,0.0561293274469708,0.38450778462853
"United States",1.5047258979206,0.0603368052047964,0.561053043150737
"Uruguay",2.25925925925926,0.0513135669724625,0.382272826113854
"Vietnam",5.4,0.0679500837840886,0.512678578308839
